timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 13:47:54.786",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\OneSyncSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:52.426",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NdisVirtualBus\Parameters\Wdf' checksum changed.
Old md5sum was: 'a34f50b409ff791b8ca73db3b1ca0733'
New md5sum is : '2beea24891ee67800c0545caeb2000c6'
Old sha1sum was: 'ef5248efe24d4437def466d2cef3295c26f57ead'
New sha1sum is : '0de58e5e9b71059260e9c9fb37cd996f349c7bd0'
"
"Apr 4, 2020 @ 13:47:51.051",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\mssmbios\Data' checksum changed.
Old md5sum was: '1e6e38e0129cb1178036ce2d2de63896'
New md5sum is : '56e9f0a7add3da7f007b812f71fed075'
Old sha1sum was: 'c69f3fa6abcfb59085cdd1e6fe3925b88bf1eb8a'
New sha1sum is : 'e34bbe63c9ca7e70f4e38fca2b5911ca2863966f'
"
"Apr 4, 2020 @ 13:47:50.707",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\msisadrv\Parameters\Wdf' checksum changed.
Old md5sum was: '9899f0d851a544118a1df10180c84633'
New md5sum is : '02ce0e33acbb815a7da890475fdcdf10'
Old sha1sum was: '495d124fb9a33489fca070669c53f629787f537f'
New sha1sum is : '67728c73dace4ee9f2461f6f5d1cda14f5a9b9d2'
"
"Apr 4, 2020 @ 13:47:49.583",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\monitor\Parameters\Wdf' checksum changed.
Old md5sum was: '59b12546060e1abacf07181ecdab1088'
New md5sum is : '6f1747e10ba929b2c471cd607bd70111'
Old sha1sum was: 'd4b00ea9b57b4fa8d52f007174e8a4fa9c806927'
New sha1sum is : 'd81ed24b00b17432aecc17d9fa68b788a2264d11'
"
"Apr 4, 2020 @ 13:47:49.388",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:49.373",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_29d4d\TriggerInfo\0' was added.
"
"Apr 4, 2020 @ 13:47:49.347",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\MessagingService_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:41.941",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanmanServer\Parameters' checksum changed.
Old md5sum was: 'ae2d280bcb1d70c8d8c9440f99e7346f'
New md5sum is : '476d7df2b152a9b2d97a5f0924d0244d'
Old sha1sum was: '5e5d8fc3198d01bfeb0b40c7b5b2377aa397ca0b'
New sha1sum is : 'c17a17f15fbb04638a03ca4ea386c67f34deac53'
"
"Apr 4, 2020 @ 13:47:40.566",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\intelppm\Parameters\Wdf' checksum changed.
Old md5sum was: 'a34f50b409ff791b8ca73db3b1ca0733'
New md5sum is : '2beea24891ee67800c0545caeb2000c6'
Old sha1sum was: 'ef5248efe24d4437def466d2cef3295c26f57ead'
New sha1sum is : '0de58e5e9b71059260e9c9fb37cd996f349c7bd0'
"
