"@timestamp",message,"log.file.path"
"May 28, 2020 @ 13:21:47.792","05/28-13:21:45.117690  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49700 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:40.789","05/28-13:21:36.525164  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49699 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:37.725","05/28/2020-13:21:36.804878  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49699 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:33.769","05/28-13:21:29.902815  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49698 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:30.723","05/28/2020-13:21:30.195771  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49698 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:27.721","05/28/2020-13:21:24.247646  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49697 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:26.767","05/28-13:21:23.970189  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49697 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:20.719","05/28/2020-13:21:18.680552  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49695 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:21:19.764","05/28-13:21:18.410947  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49695 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:21:13.712","05/28/2020-13:21:12.129552  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49693 -> 58.158.177.102:80","/var/log/suricata/fast.log"
